questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
hasOmittedTripsMode,Checkbox,TRUE,omissions,,omissions.hasOmittedTripsMode,Modes,Modes of transportation,,,,,hasOmittedTripsSpecifyConditional,,hasOmittedTripsModes,,,,TRUE,,,,,
buttonCompleteOmissionsSection,NextButton,TRUE,omissions,,buttonCompleteOmissionsSection,Continuer,Continue,,,,,,,,,,,TRUE,,,,,
householdMadeLongDistanceTripsInLastYear,Radio,TRUE,longDistance,,household.madeLongDistanceTripsInLastYear,"Au cours des **12 derniers mois**, est-ce que vous ou un des membres de votre ménage avez effectué au moins un déplacement, autre qu’à votre lieu habituel de travail ou d’études, qui **a franchi les limites de cette zone grise** (plus de 40 km du domicile)?","In the **last 12 months**, did you or a member of your household make any trips other than to your usual place of work or study, **beyond the limits of the grey area** (more than 40 km from home)?","Au cours des **12 derniers mois**, avez-vous effectué au moins un déplacement, autre qu’à votre lieu habituel de travail ou d’études, qui **a franchi les limites de cette zone grise** (plus de 40 km du domicile)?","In the **last 12 months**, did you make any trips other than to your usual place of work or study, **beyond the limits of the grey area**(more than 40 km from home)?",,,,,yesNoDontKnow,,,,TRUE,,,,,
householdLongDistanceIntroMap,Custom,TRUE,longDistance,,householdLongDistanceIntroMap,,,,,,,,,,,,,TRUE,,,,,Custom because it is a map around the home
householdLongDistanceTripsMayAugust,Radio,TRUE,longDistance,,household.longDistanceTripsMayAugust,À quelle fréquence vous ou un des membres de votre ménage avez-vous effectué des déplacements longue distance (plus de 40 km) de **mai à août 2026**?,How often did you or a member of your household make long-distance trips (more than 40 km) between **May and August 2026**?,À quelle fréquence avez-vous effectué des déplacements longue distance (plus de 40 km) de **mai à août 2026**?,How often did you make long-distance trips (more than 40 km) between **May and August 2026**?,,,madeLongDistanceTripsConditional,,longDistanceFrequencyChoices,,,,TRUE,,,,,
householdLongDistanceTripsJanuaryApril,Radio,TRUE,longDistance,,household.longDistanceTripsJanuaryApril,À quelle fréquence vous ou un des membres de votre ménage avez-vous effectué des déplacements longue distance (plus de 40 km) de **janvier à avril 2026**?,How often did you or a member of your household make long-distance trips (more than 40 km) between **January and April 2026**?,À quelle fréquence avez-vous effectué des déplacements longue distance (plus de 40 km) de **janvier à avril 2026**?,How often did you make long-distance trips (more than 40 km) between **January and April 2026**?,,,madeLongDistanceTripsConditional,,longDistanceFrequencyChoices,,,,TRUE,,,,,
householdLongDistanceTripsSeptemberDecember,Radio,TRUE,longDistance,,household.longDistanceTripsSeptemberDecember,À quelle fréquence vous ou un des membres de votre ménage avez-vous effectué des déplacements longue distance (plus de 40 km) de **septembre à décembre 2025**?,How often did you or a member of your household make long-distance trips (more than 40 km) between **September and December 2025**?,À quelle fréquence avez-vous effectué des déplacements longue distance (plus de 40 km) de **septembre à décembre 2025**?,How often did you make long-distance trips (more than 40 km) between **September and December 2025**?,,,madeLongDistanceTripsConditional,,longDistanceFrequencyChoices,,,,TRUE,,,,,
wouldLikeToParticipateToLongDistanceSurvey,Radio,TRUE,longDistance,,household.wouldLikeToParticipateToLongDistanceSurvey,Seriez-vous intéressés à **être recontactés** pour une enquête plus approfondie sur les **déplacements interurbains**?,Would you be interested in **being contacted again** for a more in-depth survey on **interurban travel**?,,,,,madeLongDistanceTripsConditional,,yesNo,,,,TRUE,,,,,
wouldLikeToParticipateToLongDistanceSurveyContactEmail,String,TRUE,longDistance,,household.wouldLikeToParticipateToLongDistanceSurveyContactEmail,Veuillez fournir une **adresse courriel** de contact pour participer à une enquête sur les **déplacements interurbains**,Please provide the **email address** where you can be reached to participate in a survey on **interurban travel**,,,,,wantToParticipateInLongDistanceSurveyConditional,emailValidation,,,,,TRUE,,,,,
buttonCompleteLongDistanceSection,NextButton,TRUE,longDistance,,buttonCompleteLongDistanceSection,Continuer,Continue,,,,,,,,,,,,,,,,
barriersDisabilitySectionIntro,InfoText,TRUE,barriersDisability,,barriersDisabilitySectionIntro,"<span class=""_phone"" aria-hidden=""true"">i </span>Les questions suivantes visent à mieux comprendre les comportements de mobilité au‑delà des déplacements déjà déclarés.","<span class=""_phone"" aria-hidden=""true"">i </span>The following questions aim to better understand mobility behaviours beyond the trips already reported.",,,,,,,,,,,TRUE,,,,,
barriersDisabilitySectionIntro2,InfoText,TRUE,barriersDisability,,barriersDisabilitySectionIntro2,"Elles sont posées à un seul répondant du ménage, si cette personne est disponible pour répondre elle-même.","They are asked to a single respondent in the household, if this person is available to answer themselves.",,,,,hasMoreThanOneSelfRespondentCustomConditional,,,,,,TRUE,,,,,
barriersDisabilityIsPersonAvailable,Radio,TRUE,barriersDisability,,barriersDisabilityIsPersonAvailable,Est-ce que {{personWithDisabilityNickname}} est disponible?,Is {{personWithDisabilityNickname}} available ?,,,customLabels={{barrierDisabilitySelectPersonCustomLabel}},,hasMoreThanOneSelfRespondentDefaultYesCustomConditional,,yesNo,,,,TRUE,,,,,
barriersDisabilityTrip,InfoText,TRUE,barriersDisability,,barriersDisabilityTrip,Déplacement pour motif {{activity}}: {{origin}} vers {{destination}} à {{originDepartureTime}},Trip for motive {{activity}}: {{origin}} to {{destination}} at {{originDepartureTime}},,,customLabels={{barriersDisabilityTripCustomLabel}},,isBarriersDisabilityTripPersonAvailableConditional,,,,,,TRUE,,,,,
barriersDisabilityTripMap,Custom,TRUE,barriersDisability,,barriersDisabilityTripMap,,,,,,,isBarriersDisabilityTripPersonAvailableConditional,,,,,,TRUE,,,,,Custom because it is the map of a trip
barriersDisabilityIntro,InfoText,TRUE,barriersDisability,,barriersDisabilityIntro,"<span class=""_phone"" aria-hidden=""true"">i </span>Pour le déplacement indiqué ci-dessus, vous avez utilisé le transport adapté. Pour chacun des éléments suivants, **indiquez s’ils ont constitué un frein à l’utilisation du transport en commun service régulier** (bus, métro, train ou REM), pour ce **déplacement**.","<span class=""_phone"" aria-hidden=""true"">i </span>For the trip shown above, you used paratransit. For each of the following items, **indicate whether they were a barrier to using regular public transit service** (bus, metro, train, or REM) for this **trip**.",,,,,isBarriersDisabilityTripPersonAvailableConditional,,,,,,TRUE,,,,,
barriersDisabilityFrequency,Radio,TRUE,barriersDisability,,barriersDisabilityFrequency,"<span class=""_phone"" aria-hidden=""true"">i </span>La **fréquence de passage** du transport en commun ou TC (ex. : passages espacés, longue attente)","<span class=""_phone"" aria-hidden=""true"">i </span>**Public transit frequency** (e.g., infrequent service, long waiting times)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityReliability,Radio,TRUE,barriersDisability,,barriersDisabilityReliability,"<span class=""_phone"" aria-hidden=""true"">i </span>La **fiabilité du transport en commun** (ex. : retards imprévisibles, annulations, crainte de correspondances manquées)","<span class=""_phone"" aria-hidden=""true"">i </span>**Reliability** of public transit (e.g., unpredictable delays, cancellations, fear of missed connections)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityWalk,Radio,TRUE,barriersDisability,,barriersDisabilityWalk,"<span class=""_phone"" aria-hidden=""true"">i </span>La **durée de marche** jusqu’à un arrêt ou une station (au départ ou à l’arrivée)","<span class=""_phone"" aria-hidden=""true"">i </span>**Walking time** to a stop or station (at departure or arrival)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityTime,Radio,TRUE,barriersDisability,,barriersDisabilityTime,"<span class=""_phone"" aria-hidden=""true"">i </span>La **durée totale du déplacement**, de porte-à-porte (marche + attente + temps à bord + correspondances)","<span class=""_phone"" aria-hidden=""true"">i </span>**Total travel time**, door-to-door (walking + waiting + in-vehicle time + transfers)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityTransfer,Radio,TRUE,barriersDisability,,barriersDisabilityTransfer,"<span class=""_phone"" aria-hidden=""true"">i </span>Le **nombre de correspondances** nécessaires (changements de ligne ou de mode)","<span class=""_phone"" aria-hidden=""true"">i </span>**Number of transfers** required (changes of line or mode)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilitySecurity,Radio,TRUE,barriersDisability,,barriersDisabilitySecurity,"<span class=""_phone"" aria-hidden=""true"">i </span>La **sécurité** (manque de luminosité dans les terminus et stations, absence de personnel dans le réseau, etc.)","<span class=""_phone"" aria-hidden=""true"">i </span>**Safety** (e.g., poor lighting in terminals and stations, lack of staff in the network, etc.)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityUniversalAccessibility,Radio,TRUE,barriersDisability,,barriersDisabilityUniversalAccessibility,"<span class=""_phone"" aria-hidden=""true"">i </span>Le **manque d’accessibilité** (ascenseurs, rampes, sièges réservés, bancs, affichage visuel, information sonore, etc.)","<span class=""_phone"" aria-hidden=""true"">i </span>**Lack of accessibility** (elevators, ramps, reserved seating, benches, visual displays, audio information, etc.)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityPlanning,Radio,TRUE,barriersDisability,,barriersDisabilityPlanning,"<span class=""_phone"" aria-hidden=""true"">i </span>La **planification du déplacement** (facilité de trouver l'information, site web accessible, etc.)","<span class=""_phone"" aria-hidden=""true"">i </span>**Trip planning** (ease of finding information, accessible website, etc.)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersDisabilityCourtesy,Radio,TRUE,barriersDisability,,barriersDisabilityCourtesy,"<span class=""_phone"" aria-hidden=""true"">i </span>Le **manque de civilité** (céder son siège, enlever son sac, gens qui bloquent l’accès à un poteau pour se tenir ou devant les portes) et/ou la **présence d’attitude discriminatoire** (regard hostile) ","<span class=""_phone"" aria-hidden=""true"">i </span>**Lack of civility** (giving up one’s seat, removing one’s bag, people blocking access to a pole for support or standing in front of doors) and/or the **presence of discriminatory attitudes** (hostile stares)",,,,,isBarriersDisabilityTripPersonAvailableConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
buttonCompleteBarriersDisabilitySection,NextButton,TRUE,barriersDisability,,buttonCompleteBarriersDisabilitySection,Continuer,Continue,,,,,,,,,,,,,,,,
selectFreqPersonIntro,InfoText,TRUE,selectFreqPerson,,selectFreqPersonIntro,"<span class=""_phone"" aria-hidden=""true"">i </span>Les questions suivantes visent à mieux comprendre les comportements de mobilité au‑delà des déplacements déjà déclarés.
Elles sont posées à un seul répondant du ménage.","<span class=""_phone"" aria-hidden=""true"">i </span>The following questions aim to better understand mobility behaviours beyond the trips already reported.
They are asked to a single respondent in the household.",,,,,,,,,,,TRUE,,,,,
selectFreqPerson,Radio,TRUE,selectFreqPerson,,_freqPersonId,"<span class=""_phone"" aria-hidden=""true"">i </span>Qui répondra à ces questions?","<span class=""_phone"" aria-hidden=""true"">i </span>Who will answer those questions?",,,,,,,hhAge16PlusCustomChoices,,,,TRUE,,,,,
buttonCompleteSelectFreqPersonSection,NextButton,TRUE,selectFreqPerson,,buttonCompleteSelectFreqPersonSection,Confirmer,Confirm,,,,,,,,,,,,,,,,
anyTripModeFrequenciesIntro,InfoText,TRUE,frequencies,,freqAttitudinal.anyTripModeFrequenciesIntro,"<span class=""_phone"" aria-hidden=""true"">i </span>À quelle **fréquence** utilisez-vous ({{nickname}}) les **modes de transport** suivants?
__Pour tous vos déplacements, peu importe l'activité réalisée (travail, études, loisirs, services, faire ses courses, accompagner quelqu'un, etc.).
Pensez au mois en cours, hors tempêtes majeures.__","<span class=""_phone"" aria-hidden=""true"">i </span>**How often** do you ({{nickname}}) use the following **modes of transportation?**
__For all your trips, regardless of the activity (work, studies, leisure, services, shopping, accompanying someone, etc.).
Think about the current month, excluding major storms.__","<span class=""_phone"" aria-hidden=""true"">i </span>À quelle **fréquence** utilisez-vous les **modes de transport** suivants?
__Pour tous vos déplacements, peu importe l'activité réalisée (travail, études, loisirs, services, faire ses courses, accompagner quelqu'un, etc.).
Pensez au mois en cours, hors tempêtes majeures.__","<span class=""_phone"" aria-hidden=""true"">i </span>**How often** do you use the following **modes of transportation?**
__For all your trips, regardless of the activity (work, studies, leisure, services, shopping, accompanying someone, etc.).
Think about the current month, excluding major storms.__",customLabels={{frequencyIntroCustomLabel}},,,,,,,,TRUE,,,,,
anyTripModeFrequenciesWalk,Radio,TRUE,frequencies,,freqAttitudinal.anyTripModeFrequenciesWalk,"<span class=""_phone"" aria-hidden=""true"">i </span>Fréquence d'utilisation du mode : **Marche** (pour la majorité du trajet)","<span class=""_phone"" aria-hidden=""true"">i </span>Frequency of use of the mode: **Walk** (for most of the trip)",,,,,,optionalValidation,anyTripModeFrequenciesChoices,,,,TRUE,,,,,
anyTripModeFrequenciesBicycle,Radio,TRUE,frequencies,,freqAttitudinal.anyTripModeFrequenciesBicycle,"<span class=""_phone"" aria-hidden=""true"">i </span>Fréquence d'utilisation du mode : **Vélo** et autres modes actifs (trottinette, patins ou planche à roulettes)","<span class=""_phone"" aria-hidden=""true"">i </span>Frequency of use of the mode: **Bike** and other active modes (scooter, rollerblades, skateboard)",,,,,,optionalValidation,anyTripModeFrequenciesChoices,,,,TRUE,,,,,
anyTripModeFrequenciesTransit,Radio,TRUE,frequencies,,freqAttitudinal.anyTripModeFrequenciesTransit,"<span class=""_phone"" aria-hidden=""true"">i </span>Fréquence d'utilisation du mode : **Transport en commun** (bus, métro, REM, train)","<span class=""_phone"" aria-hidden=""true"">i </span>Frequency of use of the mode: **Public transit** (bus, metro, REM, train)",,,,,,optionalValidation,anyTripModeFrequenciesChoices,,,,TRUE,,,,,
